GID,GID_hr,HER_hr_montype,HR_type,HR_description,HR_age,HR_sex,HR_condition,HR_completeness,HR_posture,HR_orientation,HR_rite
72718,71865,,Cremation,Pot H. 2700g of adult cremation. Full cremation. Carefully cleaned and collected. He suffered from osteoarthritis and was likely an older adult . Pot filled to top,Old Adult >40,Male,Cleaned/Sorted,Complete,Inverted,Unknown,Unknown
72719,71866,,Cremation,Pot B contained 550g of burnt bone - mainly skull & long bones; also vertebrae. Cleaned and sorted. A further 225 g of burnt bone were scattered outside the pot - same person. And adult male. It looks like the bone was taken from the pyre in two operations so perhaps not very careful on first sweep. The pot had been plugged with blob of red clay (possibly from the pyre) and sealed before second sweep. ,Adult 19-39,Male,Cleaned/Sorted,Almost complete,Inverted,Unknown,Unknown
72720,71867,,Cremation,Inserted on ground surface in an inverted pot. Much of the bone had spilled out. 585 g of cremated bone - clean and sorted. Adult. . Undecorated Collared Urn ,Adult 19-39,Unknown,Cleaned/Sorted,Fragment(s),Inverted,Unknown,Unknown
72721,71868,,Cremation,Mainly skull and petrous bone of an immature individual - also long bones. THis burial had been disturbed ,Child 3-13,Indeterminate (Child),Cleaned/Sorted,Fragment(s),Unknown,Unknown,Unknown
30003,71869,,Cremation,Cremation in a Collared Urn ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40196,71871,,Inhumation,"Burial GSl 1/2: Barrow 1 (burial 1): EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, ?M; AGE, A (45+); BIOG. DETAILS, n/a",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72722,71872,,Inhumation,"Burial GSl 1/2: Single Grave 2: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fW); POSTURE, Tightly crouched; SEX, M; AGE, A (35-45);BIOG. DETAILS, Ante-mortem: healed fracture of right tibia",Old Adult >40,Male,Biography: Injured,Unknown,Crouched (facing right),N-S,East Yorkshire Type A
72723,71873,,Inhumation,"Burial GSl 4a: Barrow 1 Grave 1: EYORKS BURIAL TYPE A; ORIENTATION, E-W (fS); POSTURE, Contracted; SEX, F; AGE, A (25-35); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),E-W,East Yorkshire Type A
72724,71874,,Inhumation,"Burial GSl 4a: Barrow 1 Grave 3: EYORKS BURIAL TYPE D; ORIENTATION, ?; POSTURE, Tightly crouched; SEX, U; AGE, I; BIOG. DETAILS, n/a",Infant <3,Unknown,Articulated,Unknown,Crouched (unspecified),Unknown,East Yorkshire Type D
72725,71875,,Inhumation,"Burial GSl 4b: Single Grave 1: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (35-45);BIOG. DETAILS, Ante-mortem: healed fracture of right clavicle",Old Adult >40,Male,Biography: Injured,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72726,71876,,Inhumation,"Burial GSl 7: Barrow 2, Burial 1: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (25-35); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72727,71877,,Inhumation,"Burial GSl 7: Barrow 2, Burial 2: EYORKS BURIAL TYPE D; ORIENTATION, NE-SW (fSE); POSTURE, Crouched; SEX, F; AGE, A (20-30); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),NE-SW,East Yorkshire Type D
72728,71878,,Inhumation,"Burial GSl 8/10: Grave 2, Burial 1 (in text), 2 (in figs): EYORKS BURIAL TYPE A; ORIENTATION, N-S (fU); POSTURE, Contracted (on back); SEX, F; AGE, A (25-35); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Crouched (facing up) ,N-S,East Yorkshire Type A
72729,71879,,Inhumation,"Burial GSl 8/10: Grave 3, Burial 3: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, ?M; AGE, L (12-14); BIOG. DETAILS, n/a",Subadult 14-18,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72730,71880,,Inhumation,"Burial GSl 9: Barrow 1: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A; BIOG. DETAILS, n/a",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72731,71881,,Inhumation,"<Forged Glamour_db summary base on Brewster (1980), Garton Slack GSl 11, Barrow 2, Burial 1>:EYORKS BURIAL TYPE C; ORIENTATION, NE-SW (fSE); POSTURE, Flexed; SEX, M; AGE, A (30-40);BIOG. DETAILS, Ante-mortem fracture of left metacarpal 5, healed NB Brewster (1975) suggests possible leg asymmetry and brain tumour/abcess but needs re-assessment",Adult 19-39,Male,Biography: Injured,Unknown,Flexed (facing left),NE-SW,East Yorkshire Type C
72733,71883,,Inhumation,"<Forged Glamour_db summary base on Hill (2004), Wetwang Village Burial 1>:EYORKS BURIAL TYPE C; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, F; AGE, A (45+);BIOG. DETAILS, Dislocated shoulder, ?facial haemangioma",Old Adult >40,Female,Biography: Injured,Unknown,Crouched (facing left),S-N,East Yorkshire Type C
30206,71884,,Cremation,"In inverted Collared Urn probably in a pit. No detail about the nature of the human remains. In Collared Urn with flared neck & rim. About 1864, two urns with burnt bones were found near the landing stage for steamers at Menai Bridge. The finders destroyed one; the other has also since perished. Within one of the urns lay a bronze pin about 3.5 inches long; one end pointed, the other flat, in like fashion as bronze 'awls' often found in urns in Wiltshire. One of the urns was sketched, showing no ornament although of unusual fashion. A bronze blade was lately found amongst burned bones at the same spot 2.5 inches long, 5/8 inch breadth. <1>2 urns, 1 containing bronze awl and 'bronze blade' amongst burnt bones. Middle Bronze Age. (RCAHMW, 1937)",Unknown,Unknown,Unknown,Unknown,Inverted,Unknown,Unknown
30081,71885,,Cremation,"In upright Collared Urn probably in a pit. No detail about the nature of the human remains. About 1864, two urns with burnt bones were found near the landing stage for steamers at Menai Bridge. The finders destroyed one; the other has also since perished. Within one of the urns lay a bronze pin about 3.5 inches long; one end pointed, the other flat, in like fashion as bronze 'awls' often found in urns in Wiltshire. One of the urns was sketched, showing no ornament although of unusual fashion. A bronze blade was lately found amongst burned bones at the same spot 2.5 inches long, 5/8 inch breadth. <1>2 urns, 1 containing bronze awl and 'bronze blade' amongst burnt bones. Middle Bronze Age. (RCAHMW, 1937)",Unknown,Unknown,Unknown,Unknown,Upright,Unknown,Unknown
30050,71886,,Inhumation,Inhumation with Beaker. Flexed (actually crouched) inhumation in cist with AOC early Beaker - unusual for Wales!  Decayed body of adult male >25 years old & on right side with head to N & intact Beaker upright at feet. He was very tall - nearly 6 foot (1.86m). The inhumation is unfortunately rather degraded ,Adult 19-39,Male,Articulated,Almost complete,Crouched (facing right),N-S,Unknown
30090,71887,,Cremation,In cist was a layer of cremated bones and pyre material in a leather bag  - the grave goods were placed at one end of the cist and the pots were placed on their sides with the mouths facing each other and on top of cremated remains ,Adult 19-39,Unknown,Unknown,Almost complete,Unknown,Unknown,Unknown
30092,71888,,Cremation,"Unurned and within the cist were the cremated boned of a man. Near the cist on the original floor were patches of charcoal, a few fragments of cremated bone and small flints with secondary working. ",Adult 19-39,Male,Unknown,Unknown,Unknown,Unknown,Unknown
30095,71889,,Cremation,upright small Food Vessel containing cremation covered by a large Enlarged Inverted Food Vessel Urn over it ,Unknown,Unknown,Unknown,Unknown,Upright,Unknown,Unknown
72734,71890,,Inhumation,"Burial R207: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Tightly crouched; SEX, M; AGE, A (25-35); BIOG. DETAILS, n/a",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72613,71891,,Inhumation,"Burial WS54i (double burial): EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72787,71892,,Inhumation,"Burial GSl 7: Barrow 3, Burial 1: EYORKS BURIAL TYPE B; ORIENTATION, E-W (fN); POSTURE, Extended; SEX, M; AGE, A (25-35); BIOG. DETAILS, n/a",Adult 19-39,Male,Articulated,Unknown,Extended (facing right),E-W,East Yorkshire Type B
72890,71893,,Cremation,"<Garton Slack cremation cemetery, burial 1>: no further details available",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72891,71894,,Cremation,"<Garton Slack cremation cemetery, burial 2>: no further info",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72892,71895,,Cremation,"<Garton Slack cremation cemetery, burial 3>: no further info",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72893,71896,,Cremation,"<Garton Slack cremation cemetery, burial 4>: no further info",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72894,71897,,Cremation,A few burnt human bones,Unknown,Unknown,Unknown,Fragment(s),Unknown,Unknown,Unknown
72954,71898,,Cremation,"Catfoss, Burial H (McInnes 1968, fig.1): No further info available.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72955,71899,,Cremation,"Catfoss, Burial H (McInnes 1968, fig.1): No further info available.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
72735,71900,,Inhumation,"Burial WS1: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, n/a",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72736,71901,,Inhumation,"Burial WS5: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A; BIOG. DETAILS, ",Unknown,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72737,71902,,Inhumation,"Burial WS8: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (35-45); BIOG. DETAILS, ",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72738,71903,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS10: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Unknown,Unknown,Articulated,Unknown,Unknown,S-N,Unknown
72739,71904,,Inhumation,"Burial WS13: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, L (14); BIOG. DETAILS, 2 rounded holes: puncture wound fractures in left scapula, partially healed",Subadult 14-18,Male,Biography: Injured,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72740,71905,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS14: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (45+); BIOG. DETAILS, ",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72741,71906,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS15: EYORKS BURIAL TYPE ?D; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type D
72742,71907,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS18: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fW); POSTURE, Flexed; SEX, F; AGE, A (16-18); BIOG. DETAILS, ",Subadult 14-18,Female,Articulated,Unknown,Flexed (facing right),N-S,East Yorkshire Type A
72743,71908,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS19: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72744,71909,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS20: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fW); POSTURE, Crouched; SEX, M; AGE, A (35-45); BIOG. DETAILS, ",Old Adult >40,Male,Articulated,Unknown,Crouched (facing right),N-S,East Yorkshire Type A
72745,71910,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS21: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F but SK U; AGE, A (20-25); BIOG. DETAILS,",Adult 19-39,Unknown,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72746,71911,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS22: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (35-45); BIOG. DETAILS, Fracture - possible dislocated shoulder",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72747,71912,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS24: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72748,71913,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS25: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, U; AGE, J (9-10); BIOG. DETAILS, ",Child 3-13,Unknown,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72749,71914,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS28: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72750,71915,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS30: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, M; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72751,71916,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS32: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Tightly Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72752,71917,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS36: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, F; AGE, A (24-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72753,71918,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS37: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M but SK F; AGE, A (20-25) but SK 26-35; BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72754,71919,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS39: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (25-35) but SK 36-45; BIOG. DETAILS, ",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72755,71920,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS40: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (35-45); BIOG. DETAILS, ",Old Adult >40,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72756,71921,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS41: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (35-45); BIOG. DETAILS,",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72757,71922,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS43: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fW); POSTURE, Flexed; SEX, M; AGE, A (35-45) but SK 26-35; BIOG. DETAILS, ",Old Adult >40,Male,Articulated,Unknown,Flexed (facing right),N-S,East Yorkshire Type D
72758,71923,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS44: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72759,71924,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS46: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (20-25); BIOG. DETAILS,",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72760,71925,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>: People:Burial WS47: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (25-35) but SK 45+; BIOG. DETAILS, Fractured nose and ribs",Old Adult >40,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72761,71926,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS48: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72762,71927,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS62: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, M; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72763,71928,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS67: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fW); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing right),N-S,East Yorkshire Type A
72764,71929,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS68: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (30-40); BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72765,71930,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS70: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fE); POSTURE, Flexed; SEX, F; AGE, A (35-45); BIOG. DETAILS,",Old Adult >40,Female,Articulated,Unknown,Flexed (facing right),S-N,East Yorkshire Type A
72766,71931,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS71: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72767,71932,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS74: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, M; AGE, J (10); BIOG. DETAILS, ",Child 3-13,Male,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72768,71933,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS76: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (17-25); BIOG. DETAILS, ",Subadult 14-18,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72769,71934,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS78: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A ; BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72770,71935,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS80: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72771,71936,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS82: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F but SK U; AGE, A (25-35); BIOG. DETAILS,",Adult 19-39,Unknown,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72772,71937,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS90: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fE); POSTURE, Crouched; SEX, F; AGE, A (45+); BIOG. DETAILS, ",Old Adult >40,Female,Articulated,Unknown,Crouched (facing right),S-N,East Yorkshire Type A
72773,71938,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS91: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72774,71939,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS95: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (25-35); BIOG. DETAILS,",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72775,71940,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS96: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72776,71941,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>: People:Burial WS97: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72777,71942,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS103: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type D
72778,71943,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS106: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, M; AGE, A (25-35) but SK 36-45; BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72779,71944,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS107: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (35-45); BIOG. DETAILS,",Old Adult >40,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72780,71945,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS108: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72781,71946,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS109: EYORKS BURIAL TYPE D; ORIENTATION, N-S (fW); POSTURE, Crouched; SEX, F; AGE, A (45+); BIOG. DETAILS, ",Old Adult >40,Female,Articulated,Unknown,Crouched (facing right),N-S,East Yorkshire Type D
72782,71947,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS112: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (35-45); BIOG. DETAILS, ",Old Adult >40,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72783,71948,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS113: EYORKS BURIAL TYPE D; ORIENTATION, E-W (fS); POSTURE, Flexed; SEX, F; AGE, A (17-25) but SK 26-35; BIOG. DETAILS,",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),E-W,East Yorkshire Type D
72784,71949,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS116: EYORKS BURIAL TYPE A; ORIENTATION, S-N (fW); POSTURE, Crouched; SEX, F; AGE, A (25-35); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),S-N,East Yorkshire Type A
72785,71950,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS118: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Flexed (facing left),N-S,East Yorkshire Type A
72786,71951,,Inhumation,"Burial WS119: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, M; AGE, A (20-25) but SK 36-45; BIOG. DETAILS, Ante-mortem healed blow/depression to right frontal bone of cranium",Adult 19-39,Male,Biography: Injured,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72788,71952,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS120: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Flexed; SEX, M; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Male,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72789,71953,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS123: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A (20-25); BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
72790,71954,,Inhumation,"<Wetwang Slack (Giles (2012) based on Dent (1984))>:People:Burial WS125: EYORKS BURIAL TYPE A; ORIENTATION, N-S (fE); POSTURE, Crouched; SEX, F; AGE, A; BIOG. DETAILS, ",Adult 19-39,Female,Articulated,Unknown,Crouched (facing left),N-S,East Yorkshire Type A
