GID_date,C14_date_BP,C14_date_StDev,C14_date_calBC,C14_calibration_programme,C14_calibration_curve,Dating_lab,Lab_date_ID,HER_material_dated,Material_dated,C14_combined,Dating_notes
60133,4110,100,3050 to 2200 cal BC,OxCal 3.10,,"Cambridge, England",Q-1451,"bone, human",,Uncal: 4110±100; Cal: 3050 to 2200 cal BC,Reference: Renfrew et al 1976; 1979Species: homo sapiensSample desc.: Human bone from the chamber of a chambered cairn.Researcher: Renfrew et al 1976; 1979Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null
60133,2130,60,400 cal BC to cal AD 80,OxCal 3.10,,"Cambridge, England",Q-1463,soil,,Uncal: 2130±60; Cal: 400 cal BC to cal AD 80,"Reference: Renfrew 1979, 184, 194Species: NullSample desc.: Charcoal rich soil from a block of intercalated pink and black layers which formed above paving which may have been a secondary floor of a roundhouse. PROBLEM: soil often contains old materialResearcher: Renfrew 1979, 184, 194Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60133,2440,85,850 to 200 cal BC,OxCal 3.10,,"Cambridge, England",Q-1464,soil,,Uncal: 2440±85; Cal: 850 to 200 cal BC,"Reference: Renfrew 1979, 184, 194Species: NullSample desc.: A dark layer of charcoal rich soil forming the primary occupation level (Square L7 layer 8) of a roundhouse. See also Q-1465 (2570+/-85 BP) from the same layer. PROBLEM: soil often contains old materialResearcher: Renfrew 1979, 184, 194Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60133,2570,85,950 to 400 cal BC,OxCal 3.10,,"Cambridge, England",Q-1465,soil,,Uncal: 2570±85; Cal: 950 to 400 cal BC,"Reference: Renfrew 1979, 184, 194Species: NullSample desc.: A dark layer of charcoal rich soil forming the primary occupation level (Square L7 layer 8) of a roundhouse. See also Q-1464 (2440+/-85 BP) from the same layer. PROBLEM: soil often contains old materialResearcher: Renfrew 1979, 184, 194Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60110,4225,60,3350 to 2450 cal BC,OxCal 3.10,,"Cambridge, England",Q-1225,"bone, animal",,Uncal: 4225±60; Cal: 3350 to 2450 cal BC,"Reference: Renfrew 1979, 206Species: red deer?Sample desc.: Deer bone from a chambered tomb.Researcher: Renfrew 1979, 206Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60112,4010,60,2900 to 2200 cal BC,OxCal 3.10,,"Cambridge, England",Q-1222,"bone, animal",,Uncal: 4010±60; Cal: 2900 to 2200 cal BC,"Reference: Renfrew 1979, 206Species: NullSample desc.: Animal bone from a chambered tomb.Researcher: Renfrew 1979, 206Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60112,4340,65,3350 to 2600 cal BC,OxCal 3.10,,"Cambridge, England",Q-1223,"bone, animal",,Uncal: 4340±65; Cal: 3350 to 2600 cal BC,"Reference: Renfrew 1979, 206Species: NullSample desc.: Animal bone from a chambered tomb.Researcher: Renfrew 1979, 206Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60112,4300,60,3350 to 2550 cal BC,OxCal 3.10,,"Cambridge, England",Q-1224,"bone, animal",,Uncal: 4300±60; Cal: 3350 to 2550 cal BC,"Reference: Renfrew 1979, 206Species: red deer?Sample desc.: Deer bone from a chambered tomb.Researcher: Renfrew 1979, 206Date completed: NullDelta-13C error: NullDelta-r: NullDelta-r error: Null"
60113,3520,34,,OxCal 3.10,,"Belfast, Northern Ireland",UB-6419,"bone, animal",,Uncal: 3520±34; Cal: ,"Reference: Sheridan 2005, 182Species: bosSample desc.: Ox terminal phalage from upper layer of deposits in cell 1 or cell 2 of chambered cairnResearcher: Sheridan 2005, 182Sponsor: Queen's University / NMSDate completed: NullDelta-13C: -22.7Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 0C-N ratio: 0"
60117,4505,60,3370 to 2930 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-11697,"bone, human",,Uncal: 4505±60; Cal: 3370 to 2930 cal BC,Reference: Barber 1997bSpecies: homo sapiensSample desc.: Human bone from an infant burial (f54) in compartment 1 of the chamber of a chambered tomb.Researcher: Barber 1997bSponsor: Historic ScotlandDate completed: NullDelta-13C: -20.1Delta-13C error: NullDelta-r: NullDelta-r error: Null
60117,4585,85,3650 to 3000 cal BC,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-11698,"bone, human",,Uncal: 4585±85; Cal: 3650 to 3000 cal BC,Reference: Barber 1997bSpecies: homo sapiensSample desc.: Human bone from an infant burial in the collapsed matrix of the cairn at the N end of a chambered tomb.Researcher: Barber 1997bSponsor: Historic ScotlandDate completed: NullDelta-13C: -19.6Delta-13C error: NullDelta-r: NullDelta-r error: Null
60117,4680,50,3630 to 3360 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1660,"bone, human",,Uncal: 4680±50; Cal: 3630 to 3360 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton E, Compartment 2 of floor deposit of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -20.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4300,50,3090 to 2700 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1661,"bone, human",,Uncal: 4300±50; Cal: 3090 to 2700 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton F, Compartment 3 floor deposit of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -20.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4040,50,2860 to 2460 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1665,"bone, animal",,Uncal: 4040±50; Cal: 2860 to 2460 cal BC,"Reference: Barber 1997b, 59Species: otterSample desc.: Otter bones behind the wall face at the N end of the passage (66) of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -12.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4380,90,3400 to 2750 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1663,"bone, animal",,Uncal: 4380±90; Cal: 3400 to 2750 cal BC,"Reference: Barber 1997b, 59Species: mixedSample desc.: Sheep, vole and bird bone in the lower level of the chamber (54) of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -22.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,3870,80,2600 to 2050 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1664,"bone, animal",,Uncal: 3870±80; Cal: 2600 to 2050 cal BC,"Reference: Barber 1997b, 59Species: mixedSample desc.: Dog and cattle bone from the fill of the passage (sample 4770) of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -20.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4680,50,3630 to 3360 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1658,"bone, human",,Uncal: 4680±50; Cal: 3630 to 3360 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton B, from Compartment 3 in the chamber of a chambered tomb.Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -20.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4600,50,3520 to 3100 cal BC,OxCal 3.10,,"Utrecht van der Graaf Laboratorium, The Netherlands",UtC-1659,"bone, human",,Uncal: 4600±50; Cal: 3520 to 3100 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton D from Compartment 1 in the chamber of a chambered tomb. See also AA-11697 (4505 +/-60 BP) & AA-11698 (4585 +/-85).Researcher: Barber 1997b, 59Date completed: NullDelta-13C: -20.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4250,90,3100 to 2500 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2934,"bone, human",,Uncal: 4250±90; Cal: 3100 to 2500 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton A, from Compartment 3 of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4390,60,3330 to 2880 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2936,"bone, human",,Uncal: 4390±60; Cal: 3330 to 2880 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton C, from Compartment 3 of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4360,50,3260 to 2880 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2940,"bone, human",,Uncal: 4360±50; Cal: 3260 to 2880 cal BC,"Reference: Barber 1997b, 59Species: homo sapiensSample desc.: Human bone from Skeleton I, from Compartments 1 & 2, in the floor deposit of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,4110,50,2880 to 2490 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2941,"bone, human",,Uncal: 4110±50; Cal: 2880 to 2490 cal BC,"Reference: Barber 1997b, 59Species: ovicapridSample desc.: Sheep bone, lower level of blocking in the passage (157, sample 4767)) of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,3670,70,2290 to 1870 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2942,"bone, animal",,Uncal: 3670±70; Cal: 2290 to 1870 cal BC,"Reference: Barber 1997b, 59Species: mixedSample desc.: Cattle, sheep and bird bone (54 upper, sample 4767) from the collapse of the chamber roof of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60117,3610,100,2300 to 1650 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-2945,"bone, bird",,Uncal: 3610±100; Cal: 2300 to 1650 cal BC,"Reference: Barber 1997b, 59Species: NullSample desc.: Bird bone (106, sample 4771) in compartment 4 of the chamber of a chambered tomb.Researcher: Barber 1997b, 59Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,2510,80,800 to 410 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1580,"bone, animal",,Uncal: 2510±80; Cal: 800 to 410 cal BC,"Reference: Sharples 1984, 90Species: bosSample desc.: Cattle bone in a midden (PQ81 23 Layer 8) underlying the roundhouse wall.Researcher: Sharples 1984, 90Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,2425,60,770 to 390 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1581,"bone, animal",,Uncal: 2425±60; Cal: 770 to 390 cal BC,"Reference: Sharples 1984, 90Species: bosSample desc.: Cattle bone in an occupation deposit (PQ81 13 Layer 6) adjacent to a large roundhouse.Researcher: Sharples 1984, 90Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4140,60,2890 to 2500 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1582,"bone, animal",,Uncal: 4140±60; Cal: 2890 to 2500 cal BC,"Reference: Sharples 1984, 90Species: bosSample desc.: A single cattle bone in a wall supporting platform (PQ81 Layer 21) over a demolished chambered cairn.Researcher: Sharples 1984, 90Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4140,60,2890 to 2500 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1583,"bone, animal",,Uncal: 4140±60; Cal: 2890 to 2500 cal BC,"Reference: Sharples 1984, 90Species: bosSample desc.: Cattle bone in a secondary occupation (PQ81 Layer 10) of a small structure built over a demolished cairn.Researcher: Sharples 1984, 90Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4030,65,2900 to 2350 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1584,"bone, animal",,Uncal: 4030±65; Cal: 2900 to 2350 cal BC,"Reference: Sharples 1984, 90Species: bosSample desc.: Cattle bone in secondary occupation (PQ81 Layer 10) of a small structure over a demolished cairn.Researcher: Sharples 1984, 90Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4045,140,2950 to 2100 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1585,"bone, animal",,Uncal: 4045±140; Cal: 2950 to 2100 cal BC,Reference: Sharples 1984Species: ovicapridSample desc.: Sheep/ goat bone in a translocated shillet layer (PQ81Layer 7I) used to construct a platform against the round cairn. Dates a large faunal assemblage. Not in publication.Researcher: Sharples 1984Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.8Delta-13C error: NullDelta-r: NullDelta-r error: Null
60144,4330,110,3350 to 2600 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1586,"bone, animal",,Uncal: 4330±110; Cal: 3350 to 2600 cal BC,"Reference: Sharples 1984, 125Species: ovicapridSample desc.: Sheep/ goat bone in the collapse (PQ81 layer 22) of the revetment of the chambered cairn.Researcher: Sharples 1984, 125Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4065,90,2900 to 2350 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1587,"bone, animal",,Uncal: 4065±90; Cal: 2900 to 2350 cal BC,"Reference: Sharples 1984, 125Species: bosSample desc.: Cattle bone in the collapse (PQ81 layer 22) of the revetment of the chambered cairn.Researcher: Sharples 1984, 125Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.8Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60144,4105,120,2950 to 2300 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1588,"bone, animal",,Uncal: 4105±120; Cal: 2950 to 2300 cal BC,"Reference: Sharples 1984, 125Species: ovicapridSample desc.: Sheep/ goat bone in the collapse (PQ81 layer 20) of the revetment of the chambered cairn.Researcher: Sharples 1984, 125Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.5Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,3760,85,2500 to 1950 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1690,"bone, animal",,Uncal: 3760±85; Cal: 2500 to 1950 cal BC,Reference: Clarke and Sharples 1985Species: red deerSample desc.: Red deer bone from a midden sealing a field wall and an area of red deer butchering in Area C The midden contains beaker pottery.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.8Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,4315,80,3350 to 2600 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1691,"bone, animal",,Uncal: 4315±80; Cal: 3350 to 2600 cal BC,"Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone in a midden covering a robbed structure and contemporary with or pre-dating its hearth; one of the latest occupations in Trench E, the west midden.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,3850,65,2490 to 2130 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1692,"bone, animal",,Uncal: 3850±65; Cal: 2490 to 2130 cal BC,Reference: Clarke and Sharples 1985Species: red deerSample desc.: Red deer bone in a midden filling the northernmost chamber of the structure at Grobust.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,3990,85,2900 to 2200 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1693,"bone, animal",,Uncal: 3990±85; Cal: 2900 to 2200 cal BC,Reference: Clarke and Sharples 1985Species: mixedSample desc.: Cattle and red deer bone in a scatter of bone amongst features pre-dating a field wall in Trench CResearcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.5Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,4040,80,2900 to 2300 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1694,"bone, animal",,Uncal: 4040±80; Cal: 2900 to 2300 cal BC,Reference: Clarke and Sharples 1985Species: ovicapridSample desc.: Sheep or goat bone in the top of the primary midden of the second phase of deposition in Trench D.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.2Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,3750,100,2500 to 1850 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1695,"bone, animal",,Uncal: 3750±100; Cal: 2500 to 1850 cal BC,Reference: Clarke and Sharples 1985Species: red deerSample desc.: Red deer bone from a midden overlying a path entering the northernmost chamber of the structure at Grobust.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.9Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,4270,75,3100 to 2600 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1696,"bone, animal",,Uncal: 4270±75; Cal: 3100 to 2600 cal BC,Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone from a thin midden layer between two early phases of ard cultivation in Trench D.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.8Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,4360,125,3400 to 2600 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1697,"bone, animal",,Uncal: 4360±125; Cal: 3400 to 2600 cal BC,"Reference: Clarke and Sharples 1985, 72-7; Renfrew and Buteux 1985, 265Species: bosSample desc.: Cattle bone from the earliest plough soil in Trench DResearcher: Clarke and Sharples 1985, 72-7; Renfrew and Buteux 1985, 265Sponsor: Historic ScotlandDate completed: NullDelta-13C: -22.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,4140,65,3050 to 2350 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1428,"bone, animal",,Uncal: 4140±65; Cal: 3050 to 2350 cal BC,"Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone in sand layer FQ89/FHG008 immediately preceding a midden and sealing the earlier plough soil in Trench D, the west midden.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.7Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,4215,65,3100 to 2450 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1429,"bone, animal",,Uncal: 4215±65; Cal: 3100 to 2450 cal BC,Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone in a sand layer FR88/FNG005 immediately preceding a midden and sealing an earlier plough soil in Trench D.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.4Delta-13C error: NullDelta-r: NullDelta-r error: Null
60055,3860,60,2650 to 1950 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1430,"bone, animal",,Uncal: 3860±60; Cal: 2650 to 1950 cal BC,"Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone in the latest midden FQ83/2 in Trench D, the west midden area.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -19.9Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,3950,65,2900 to 2100 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1431,"bone, animal",,Uncal: 3950±65; Cal: 2900 to 2100 cal BC,"Reference: Clarke and Sharples 1985Species: bosSample desc.: Cattle bone from the midden deposit FR89/FOG003 on which red deer skeletons lie in Trench D, the west midden area.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.2Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,3722,60,2500 to 1750 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1432,"bone, animal",,Uncal: 3722±60; Cal: 2500 to 1750 cal BC,"Reference: Clarke and Sharples 1985Species: red deerSample desc.: Red deer bone in the midden G769/ECE007 overlying an isolated field wall in Trench C, related to the main structure at Grobust by a joining potsherd.Researcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -21.3Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60055,3840,60,2650 to 1950 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,GU-1433,"bone, animal",,Uncal: 3840±60; Cal: 2650 to 1950 cal BC,"Reference: Clarke and Sharples 1985Species: mixedSample desc.: Sheep or goat, cattle, pig and red deer bone in midden infill HP90/CEC29 of the northernmost passage of the main structure at GrobustResearcher: Clarke and Sharples 1985Sponsor: Historic ScotlandDate completed: NullDelta-13C: -20.6Delta-13C error: NullDelta-r: NullDelta-r error: Null"
60052,1880,40,cal AD 30 to 240,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-51572,"bone, human",,Uncal: 1880±40; Cal: cal AD 30 to 240,Reference: Moore HSpecies: homo sapiensSample desc.: A human bone from a burial F.106 post-dating the substantial building and representing the uppermost level of burialsResearcher: Moore HSponsor: YorkDate completed: NullDelta-13C: -19.2Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 0C-N ratio: 0
60052,1750,55,cal AD 130 to 410,OxCal 3.10,,"National Science Foundation Radiocarbon Facility University of Arizona, USA",AA-51573,"bone, human",,Uncal: 1750±55; Cal: cal AD 130 to 410,Reference: Moore HSpecies: homo sapiensSample desc.: A human bone from a burial F.2021 post-dating the substantial building and representing the uppermost level of burialsResearcher: Moore HDate completed: NullDelta-13C: -20.7Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 0C-N ratio: 0
60052,1585,35,cal AD 400 to 560,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8395,"Bone, animal",,Uncal: 1585±35; Cal: cal AD 400 to 560,"Reference: Hazel MooreSpecies: ovicapridSample desc.: A sheep humerus from an articulated sheep burial 1095 close to human burials in a rubble deposit in front of the intra-mural stair, on the exterior of Structure A. It was covered with rubble and lay over rubble. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -21.2Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 6.4C-N ratio: 3.4"
60052,1720,35,cal AD 240 to 410,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8396,"Bone, human",,Uncal: 1720±35; Cal: cal AD 240 to 410,Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human femur from burial 2098 close to the entrance of Structure A. It was covered with rubbly soil and lay over rubbly soil. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -21.8Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 4.8C-N ratio: 3.1
60052,2065,35,180 cal BC to cal AD 20,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8400,"Bone, human",,Uncal: 2065±35; Cal: 180 cal BC to cal AD 20,"Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human femur from burial 2100 This burial was found in a cist, sited beneath a re-facing of the wall of structure A, in the area of its entrance. It was covered with rubbly soil and lay over rubbly soil. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -19Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 12.5C-N ratio: 3.1"
60052,1950,35,40 cal BC to cal AD 130,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8401,"Bone, human",,Uncal: 1950±35; Cal: 40 cal BC to cal AD 130,Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human femur from burial 2114 This burial was found in rubble deposits in front of the intra-mural stairway on the exterior of structure A. It was covered in rubbly soil and lay over rubbly soil. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -19.2Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 13C-N ratio: 3.4
60052,2060,35,180 cal BC to cal AD 20,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8402,"Bone, human",,Uncal: 2060±35; Cal: 180 cal BC to cal AD 20,"Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human femur from burial 3015 This articulated human burial was found within a layer of rubbly soil, located outside the entrance of Structure A. It was sealed by further deposits of stony soil. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death. PROBLEM: As of 2009, the calibration is uncertain because the marine effect varies (Ascough  PhD)Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -18Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 12.2C-N ratio: 3.2"
60052,1665,35,cal AD 250 to 530,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8403,"Bone, human",,Uncal: 1665±35; Cal: cal AD 250 to 530,Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human humerus from burial 3111 This articulated human burial was found beneath the wall of structure E. It lay over rubble and was sealed by the stones of the wall. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -20.9Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 9.1C-N ratio: 3.5
60052,1740,35,cal AD 220 to 410,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8404,"Bone, human",,Uncal: 1740±35; Cal: cal AD 220 to 410,Reference: Hazel MooreSpecies: homo sapiensSample desc.: A cow humerus from Cow burial 3112 This articulated cow burial was found beneath the wall of structure E. It lay over rubble and was sealed by the stones of the wall. The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -22.1Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 4.8C-N ratio: 3.2
60052,2130,35,360 to 40 cal BC,OxCal 3.10,,Scottish Universities Environmental Research Centre,SUERC-8406,"Bone, human",,Uncal: 2130±35; Cal: 360 to 40 cal BC,Reference: Hazel MooreSpecies: homo sapiensSample desc.: A human femur from burial 4036 This articulated burial was covered by rubble in the interior of a building (Structure H). It lay over further rubble (not fully excavated). The burial was deliberately deposited where it was found. The articulation of the bones indicates that they were placed in the grave soon after death.Researcher: Hazel MooreSponsor: Historic ScotlandDate completed: NullDelta-13C: -20.7Delta-13C error: NullDelta-r: NullDelta-r error: NullDelta-15N: 11C-N ratio: 3.4
