GID_ref,HER_reference_ID,HER_reference_type,Reference_type,Authors,Year,Main_title,Editors,Edited_volume_title,Journal_title,Journal_volume,Monograph_series_details,Start_page,End_page,Publisher,Place_of_publication,Report_no,OASIS_no,DOI,URL,Date_accessed
60200,10605,Article,Journal Article,"Clarke, Hope and Wickham-Jones, D V, R and C",1977,"'Westray. Links of Noltland-Grooved ware settlement',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60201,34819,Article,Journal Article,"Saville, A",1994,"'A decorated Skaill knife from Skara Brae, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,124,,,,,,,,,,
60202,38844,Article,Journal Article,"Dunwell, A J",1995,"'Links of Noltland, Westray (Westray parish), topographic and archaeological survey',",,,"Discovery and Excavation, Scotland",,,,,Council for Scottish Archaeology,,,,,,
60203,47858,Article,Journal Article,"Moore and Wilson, H and G",2000,"Links of Noltland, Westray, Orkney (Westray parish), prehistoric settlement, burial',",,,"Discovery and Excavation, Scotland",1,,,,Council for Scottish Archaeology,,,,,,
60204,50147,Article,Journal Article,"Moore, Wilson and Barrett, H, G and J",2001,"'Links of Noltland, Orkney (Westray parish), survey; assessment',",,,"Discovery and Excavation, Scotland",2,,,,Council for Scottish Archaeology,,,,,,
60205,51192,Book Section,Book Section,"Barclay, G J",1996,"'Neolithic buildings in Scotland',","Darvill, T and Thomas, J","Neolithic houses in northwest Europe and beyond,",,,,,,Oxbow,Oxford,,,,,
60206,52905,Book Section,Book Section,"Barclay, G J",2003,"'The Neolithic',","Edwards, K J and Ralston, I B M","Scotland after the Ice Age: environment, archaeology and history 8000BC - AD 1000",,,,,,Edinburgh University Press,Edinburgh,,,,,
60207,70843,Article,Journal Article,"Moore and Wilson, H and G",2006,"'Links of Noltland, Orkney (Westray parish), archaeological survey and assessment',",,,"Discovery and Excavation, Scotland",7,,,,Council for Scottish Archaeology,Dorchester,,,,,
60208,73505,Article,Journal Article,"Moore and Wilson, H and G",2007,"'Links of Noltland, Orkney (West Wray parish), rescue excavation',",,,"Discovery and Excavation, Scotland",8,,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60209,73506,Article,Journal Article,"Moore and Wilson, H and G",2007,"'Links of Noltland Bronze Age Houses, Orkney (West Wray parish), excavation',",,,"Discovery and Excavation, Scotland",8,,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60210,74849,Book,Book,"Gibson, J",2008,"Rising tides: the loss of coastal heritage in Orkney,",,,,,,,,Northings,,,,,,
60211,77177,Article,Journal Article,"Moore and Wilson, H and G",2008,"'Links of Noltland, Orkney (Westray parish), excavation',",,,"Discovery and Excavation, Scotland",9,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60212,82308,Article,Journal Article,"Moore and Wilson, H and G",2009,"'Links of Noltland, Orkney (Westray parish), excavation, survey and trial trenching',",,,"Discovery and Excavation, Scotland",10,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60213,87598,Article,Journal Article,"Moore and Wilson, H and G",2010,"'Links of Noltland, Orkney (Westray parish), excavation',",,,"Discovery and Excavation, Scotland",11,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60214,87599,Article,Journal Article,"Brend, A",2010,"'Links of Noltland, Westray, Orkney (Westray parish), geophysical survey',",,,"Discovery and Excavation, Scotland",11,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60215,93686,Book,Book,"Moore and Wilson, H and G",2009,"Shifting sands: Links of Noltland, Westray: Interim report on Neolithic and Bronze Age excavations, 2007-09,",,,,,,,,Historic Scotland,Edinburgh,,,,,
60216,96407,Article,Journal Article,"Moore and Wilson, H and G",2011,"'Links of Noltland, Orkney (Westray parish), excavation',",,,"Discovery and Excavation, Scotland",12,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60217,108349,Article,Journal Article,"Moore and Wilson, H and G",2015,"Orkney, Links of Noltland, Excavation",,,"Discovery and Excavation, Scotland",15,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60218,108350,Article,Journal Article,"Moore and Wilson, H and G",2015,"Orkney, Links of Noltland, Watching brief, evaluation and excavation",,,"Discovery and Excavation, Scotland",15,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60219,10620,Article,Journal Article,"Lynn and Bell, D S and B",1984,Knowe of Skea (Westray p). Chambered cairn,,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60220,47857,Article,Journal Article,"Moore and Wilson, H and G",2000,"'Knowe of Skea and Berst Ness, Westray, Orkney (Westray parish), chambered cairn; Bronze Age burials',",,,"Discovery and Excavation, Scotland",1,,,,Council for Scottish Archaeology,,,,,,
60221,63238,Article,Journal Article,"Moore, H. and Wilson, G.",2005,"Knowe of Skea, Orkney (Westray parish), Middle Iron Age burials",,,"Discovery and Excavation, Scotland",6,,,,Council for Scottish Archaeology,,,,https://doi.org/10.5284/1000284,,24/04/2018
60222,73503,Article,Journal Article,"Moore and Wilson, H and G",2007,"'Berst Ness, Knowe of Skea, Orkney (West Wray parish), excavation',",,,"Discovery and Excavation, Scotland",8,,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60223,77176,Article,Journal Article,"Moore and Wilson, H and G",2008,"'Berst Ness, Knowe of Skea, Orkney (Westray parish), excavation',",,,"Discovery and Excavation, Scotland",9,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60224,82307,Article,Journal Article,"Moore and Wilson, H and G",2009,"'Berst Ness / Knowe of Skea, Orkney (Westray parish), excavation',",,,"Discovery and Excavation, Scotland",10,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60225,2717,Article,Journal Article,"Grant, W.",1933,"Further burials at Blows, Deerness, Orkney",,,Proceedings of the Society of Antiquaries of Scotland,67,,343,345,,,,,,,
60226,5124,Article,Journal Article,"Marwick, H.",1929,Some cist-burials in Orkney,,,Proceedings of the Society of Antiquaries of Scotland,63,,377,383,,,,,,,
60227,5125,Article,Journal Article,"Marwick, H.",1929,Urn burial in Deerness,,,Proceedings of the Orkney Archaeological Society,7,,75,76,,,,,,,
60228,8110,Book,Book,"Steedman, K A",1980,"The Archaeology of the Deerness Peninsula, Orkney,",,,,,,,,,,,,,,
60229,5009,Article,Journal Article,"Petrie, G",1870,"'Notice of some rude stone implements found in Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,7,,,,,,,,,,
60230,1435,Article,Journal Article,"Coles, J M",1962,"'Scottish Late Bronze Age metalwork: typology, distributions and chronology'",,,Proceedings of the Society of Antiquaries of Scotland,93,,,,,,,,,,
60231,5721,Article,Journal Article,"Mooney, J",1926,"'Deerness: its islands',",,,Proceedings of the Orkney Archaeological Society,4,,,,,,,,,,
60232,21,Article,Journal Article,"Calder, C S T",1938,"'Excavations of three neolithic chambered cairns-one with an upper and a lower chamber- in the Islands of Eday and the Calf of Eday, in Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,72,,,,,,,,,,
60233,5805,Book,Book,RCAHMS,1984,"The Royal Commission on the Ancient and Historical Monuments of Scotland. The archaeological sites and monuments of Eday and Stronsay, Orkney Islands Area,",,,,,,,,RCAHMS,Edinburgh,,,,,
60234,10048,Article,Journal Article,PSAS,1939,"'Donations to and purchases for the Museum and Library',",,,Proceedings of the Society of Antiquaries of Scotland,73,,,,,,,,,,
60235,2071,Article,Journal Article,"Farrer, J",1859,"'Notes on the bronze and iron remains dug up in a ""Pict's House"", in the Holm of Eday, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,2,,,,,,,,,,
60236,18,Article,Journal Article,"Calder, C S T",1937,"'A neolithic double-chambered cairn of the stalled type and later structures on the Calf of Eday, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,71,,,,,Edinburgh,,,,,
60237,839,Article,Journal Article,"Childe, V G",1946,"'Prehistoric cereals from Scotland',",,,Proceedings of the Society of Antiquaries of Scotland,79,,,,,,,,,,
60238,2068,Article,Journal Article,"Farrer, J",1859,"'Notice of antiquities on the Isle of Eday, Orkney, recently examined by James Farrer',",,,Proceedings of the Society of Antiquaries of Scotland,2,,,,,,,,,,
60239,4119,Book,Book,"Fraser, D",1982,"The Chambered Cairns of Orkney: Land and Society in the Third and Second Millennia BC,",,,,,,,,,,,,,,
60240,4120,Book,Book,"Fraser, D",1983,"Land and society in Neolithic Orkney,",,,British Archaeology Report,117,BAR British,,,BAR,Oxford,,,,,
60241,64193,Article,Journal Article,"Barber, J.; Duffy, A.; O'Sullivan, J.",1996,"The excavation of two Bronze Age burial cairns at Bu Farm, Rapness, Westray, Orkney",,,Proceedings of the Society of Antiquaries of Scotland,126,,103,120,,,,,,,
60242,5003,Article,Journal Article,"Petrie, G",1866,"Notice of the brochs and the so-called Picts' houses in Orkney',",,,,2,,,,,,,,,,
60243,5111,Article,Journal Article,"Marwick, H",1925,"'Antiquarian notes on Papa Westray',",,,Proceedings of the Orkney Antiquarian Society,3,,,,,,,,,,
60244,7868,Book,Book,"Wilson, D",1851,"The archaeology and prehistoric annals of Scotland,",,,,,,,,Sutherland & Knox,Edinburgh,,,,,
60245,50138,Article,Journal Article,"Turton, Turton, McGuire and Brend, B, M, D and A",2001,"'Holm of Papa Westray, Okrney (Papa Westray parish), geophysical survey',",,,"Discovery and Excavation, Scotland",2 (New series),,,,Council for Scottish Archaeology,,,,,,
60246,51412,Book Section,Book Section,"Ritchie, G",1997,"'Early settlement in Argyll',","Ritchie, G",The archaeology of Argyll,,,,,,Edinburgh University Press,Edinburgh,,,,,
60247,93685,Book,Book,"Ritchie, A",2009,"On the fringe of Neolithic Europe: excavation of a chambered cairn on the holm of Papa Westray, Orkney,",,,,,,,,Society of Antiquaries,Edinburgh,,,,,
60248,6127,Article,Journal Article,"Ritchie, A",1987,"'Holm of Papa Westray: an insight into the Neolithic use of chambered tombs',",,,Proceedings of the Society of Antiquaries of Scotland,116,,,,,,,,,,
60249,9625,Article,Journal Article,"Ritchie, A",1982,'Holm of Papa Westray North (Papa Westray p). Chambered tomb'.,,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60250,9626,Article,Journal Article,"Ritchie, A",1983,"'Holm of Papa Westray North (Papa Westray p). Orkney-Cromarty stalled cairn',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60251,77160,Article,Journal Article,"Harland and Parks, J and R",2008,"'Holm of Papa, Westray North, Orkney (Papa Westray parish), fish bone project',",,,"Discovery and Excavation, Scotland",9 (New series),,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60252,79090,Book,Book,"Ritchie, A",2009,"On the fringe of Neolithic Europe: excavation of a chambered cairn on the holm of Papa Westray, Orkney,",,,,,,,,Society of Antiquaries,Edinburgh,,,,,
60253,5011,Article,Journal Article,"Petrie, G",1871,"'Notice of excavations, and discovery of cists containing large stone urns in Stronsay, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,8,,,,,,,,,,
60254,345,Article,Journal Article,"Callander, J G",1931,"'Notes on (1) certain prehistoric relics from Orkney, and (2) Skara Brae: its culture and its period',",,,Proceedings of the Society of Antiquaries of Scotland,65,,78,114,,,,,,,
60255,4609,Article,Journal Article,PSAS,1932,"'Donations to and purchases for the Museum and Library',",,,Proceedings of the Society of Antiquaries of Scotland,66,,,,,,,,,,
60256,1756,Book,Book,"Evans, J",1897,"The Ancient Stone Implements, Weapons and Ornaments of Great Britain,",,,,,,,,,London,,,,,
60257,6465,Article,Journal Article,"Roe, F E S",1966,"'The battle-axe series in Britain',",,,Proceedings of the Prehistoric Society,32,New,,,,,,,,,
60258,21334,Book Section,Book Section,"Clough and Cummins, T H McK and W A",1988,"'Lists of identifications',","Clough, T H McK and Cummins, W A","Stone axe studies, volume 2: the petrology of prehistoric stone implements from the British Isles",,,,,,,London,,,,,
60259,5113,Article,Journal Article,"Marwick, H",1927,"'Antiquarian notes on Stronsay',",,,Proceedings of the Orkney Archaeological Society,5,,,,,,,,,,
60260,858,Article,Journal Article,"Childe, V G",1954,"'Re-excavation of the chambered cairn of Quoyness, Sanday, on behalf of the Ministry of Works in 1951-2',",,,Proceedings of the Society of Antiquaries of Scotland,86,,,,,,,,,,
60261,2087,Article,Journal Article,"Farrer, J",1870,"'Note of excavations in Sanday, one of the North Isles of Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,7,,,,,,,,,,
60262,5664,Book,Book,RCAHMS,1980,"The Royal Commission on the Ancient and Historical Monuments of Scotland. The archaeological sites and monuments of Sanday and North Ronaldsay, Orkney,",,,,,,,,RCAHMS,Edinburgh,,,,,
60263,42950,Article,Journal Article,"Childe, V G",1952,"'Orkney',",,,"Discovery and Excavation, Scotland",,,,,Council for British Archaeology,,,,,,
60264,42139,Article,Journal Article,"Downes, J",1998,"'Elsness, Sanday (Lady parish), survey of burial mounds',",,,"Discovery and Excavation, Scotland",,,,,Council for Scottish Archaeology,,,,,,
60265,90556,Article,Journal Article,"Sharman, P.",2007,"Excavation of a Bronze Age funerary site at Loth Road, Sanday, Orkney",,,Scottish Archaeological Internet Reports,25,,,,,,,,https://doi.org/10.5284/1017938,,24/04/2018
60266,9072,Article,Journal Article,PSAS,1931,"'Donations to and purchases for the Museum and Library',",,,Proceedings of the Society of Antiquaries of Scotland,65,,,,,,,,,,
60267,46735,Book,Book,"Downes and Lamb, J and R [G]",2000,"Prehistoric houses at Sumburgh in Shetland: excavations at Sumburgh airport 1967-74,",,,,,,,,Oxbow Books,Oxford,,,,,
60268,8016,Article,Journal Article,"Traill, W",1876,"'Notice of two cists on the farm of Antabreck, North Ronaldsay, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,11,,,,,,,,,,
60269,12814,Article,Journal Article,"Cormack, W F",1973,"'Hushinish, pottery and cists',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60270,3582,Article,Journal Article,"Lacaille, A D",1937,"'A stone industry at, potsherds and a bronze pin from Valtos, Uig, Lewis',",,,Proceedings of the Society of Antiquaries of Scotland,71,,,,,,,,,,
60271,8442,Article,Journal Article,Anon,1981,Donations to and purchases for the Museum and Library,,,Proceedings of the Society of Antiquaries of Scotland,110,,535,544,,,,,,,
60272,13564,Article,Journal Article,"Close-Brooks, J",1976,"'Lewis, Valtos, Uig, Kneep Headland, kerb cairn',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60273,13565,Article,Journal Article,"Close-Brooks, J",1978,"'Lewis, Valtos, cairn',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60274,13566,Article,Journal Article,"Close-Brooks, J.",1978,"Kneep, Uig, Isle of Lewis, Ross-shire, NB 099 363",,,Proceedings of the Prehistoric Society,44,,,,,,,,,,
60275,34817,Article,Journal Article,"Armit, I.",1994,"Archaeological field survey of the Bhaltos (Valtos) peninsula, Lewis",,,Proceedings of the Society of Antiquaries of Scotland,124,,67,93,,,,,,,
60276,36227,Article,Journal Article,"Close-Brooks, J.",1995,"Excavation of a cairn at Cnip, Uig, Isle of Lewis",,,Proceedings of the Society of Antiquaries of Scotland,125,,253,277,,,,,,,
60277,36228,Article,Journal Article,"Dunwell, A.J.; Neighbour, T.; Cowie, T. G.",1995,"A cist burial adjacent to the Bronze Age cairn at Cnip, Uig, Isle of Lewis",,,Proceedings of the Society of Antiquaries of Scotland,125,,279,288,,,,,,,
60278,82683,Article,Journal Article,"Lelong, O.",2009,"Cnip Headland, Uig, Isle of Lewis, Western Isles (Uig parish), excavation",,,"Discovery and Excavation, Scotland",10 (New series),,,,,,,,,,
60279,107130,Book,Book,"Gannon and Geddes, A and G",2015,St Kilda: The Last and Outmost Isle,,,,,,,,RCAHMS,Edinburgh,,,,,
60280,13567,Article,Journal Article,"Cormack, W. F.",1973,"Lewis, Valtos, Traigh na Beiridh, pottery and cists",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60281,18551,Article,Journal Article,"Cowie, T G",1991,"'Kneep Headland (Uig parish): burial, probably Viking',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60282,18552,Article,Journal Article,"Cowie, T G",1991,"'The discovery of a child burial of probable Viking-age date on Kneep Headland, Lewis, 1991: preliminary report',",,,Hebridean Naturalist,11,,,,,,,,,,
60283,25395,Article,Journal Article,CFA,1992,"'Cnip (Kneep), Lewis (Uig parish): probable Viking cemetery',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60284,25397,Article,Journal Article,CFA,1992,"Cnip (Kneep), Lewis (Uig parish): Bronze Age cist burial",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60285,33089,Article,Journal Article,CFA,1994,"'Cnip headland, Isle of Lewis (Uig parish): Viking age graves; miscellaneous eroding features',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60286,13308,Article,Journal Article,"Ponting, Ponting and Curtis, M, G and G R",1977,"'Isle of Lewis, Callanish - stone circle and related structures; Callanish I: the standing stones of Callanish, buried stone 33A; Braesclete, Callanish XI:Airigh na Beinne Bige, possible stones, holes, etc.; Callanish XVIA: Cliacabhadh, standing stone; Ca",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60287,13424,Article,Journal Article,"Ponting, Ponting and Curtis, M, G and G R",1976,"'Callanish',",,,"Discovery and Excavation, Scotland",,,,,Scottish Group: Council for British Archaeology,,,,,,
60288,38875,Article,Journal Article,"Curtis and Curtis, M R and G R",1995,"'Airigh na Beinne Bige (Callanish Site 11) (Uig parish), two kerb cairns',",,,"Discovery and Excavation, Scotland",,,,,Council for Scottish Archaeology,,,,,,
60289,52598,Article,Journal Article,"Curtis and Curtis, M R and G R",2002,"'Callanish XI: Airigh na Beinne Bige, Western Isles (Uig parish), stone circle',",,,"Discovery and Excavation, Scotland",3,,,,Council for Scottish Archaeology,,,,,,
60290,108973,Article,Journal Article,"Curtis and Curtis, MR and R",2015,"Western Isles, Callanish XI Airigh na Beinne Bige, Fieldwork",,,"Discovery and Excavation, Scotland",15,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60291,1230,Book Section,Book Section,"Ashmore, P",1984,"'Callanish',","Breeze, D J","Studies in Scottish antiquity presented to Stewart Cruden,",,,,1,31,,Edinburgh,,,,,
60292,2801,Book,Book,"Burl, {H} A {W}",1976,"The stone circles of the British Isles,",,,,,,,,Yale University Press,London and New Haven,,,,,
60293,2803,Book,Book,"Burl, {H} A {W}",1979,"Rings of stone: the prehistoric stone circles of Britain and Ireland,",,,,,,,,Frances Lincoln,London,,,,,
60294,3275,Book,Book,"Henshall, A S",1972,"The chambered tombs of Scotland,",,,,2,,,,Edinburgh University Press,Edinburgh,,,,,
60295,5180,Article,Journal Article,"Matheson, J",1862,"'Notice of the Stone Circle of Callernish in the Lewis, and of a chamber under the circle recently excavated',",,,Proceedings of the Society of Antiquaries of Scotland,3,,,,,,,,,,
60296,5587,Book,Book,RCAHMS,1928,"The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles,",,,,,,,,HMSO,Edinburgh,,,,,
60297,7507,Book,Book,"Thom, A",1967,"Megalithic sites in Britain,",,,,,,,,Clarendon Press,Oxford,,,,,
60298,7614,Article,Journal Article,"Thom and Thom, A and A S",1978,"'A reconsideration of the lunar sites in Britain',",,,Journal of Historical Astronomy,9,,,,,,,,,,
60299,7991,Article,Journal Article,"Somerville, B",1912,"'Astronomical indications in the Megalithic Monument at Callanish',",,,Journal of the British Astronomical Association,23,,,,,,,,,,
60300,13305,Article,Journal Article,"Ashmore, P J",1981,"'Callanish (Uig p) chambered cairn, agricultural, settlement remains',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60301,13307,Book,Book,"Ponting and Ponting, G and M",1977,"The standing stones of Callanish,",,,,,,,,{s.n.} (Essoprint),{s.l.} (Stornoway),,,,,
60302,13315,Article,Journal Article,"Curtis, G R",1979,"'Some geometery associated with the standing stones of Callanish',",,,Hebridean Naturalist,3,,,,,,,,,,
60303,13316,Book,Book,"Hadingham, E",1975,"Circles and standing stones,",,,,,,,,Heinemann,London,,,,,
60304,13345,Book Section,Book Section,"Ponting and Ponting, M R and G H",1982,"'Decoding the Callanish Complex - progress report',","Heggie, D C","Archaeoastronomy in the Old World,",,,,,,,Cambridge,,,,,
60305,49383,Article,Journal Article,"Burl, A",1996,"''Calanais' meets the olde tea-shoppe',",,,British Archaeology,17,,,,Council for British Archaeology,,,,,,
60306,51207,Article,Journal Article,"Ashmore, P",2002,"'4D archaeology',",,,Antiquity,76,,,,,,,,,,
60307,51243,Book Section,Book Section,"Burgess, C",1999,"'Promontory enclosures on the Isle of Lewis, the Western Isles, Scotland',","Frodsham, P, Topping, P and Cowley, D","'We were always chasing time.' Papers presented to Keith Blood,",Northern Archaeology (Special Edition),1718,,,,,,,,,,
60308,52611,Book,Book,"Ponting, G",2002,"Callanish and other megalithic sites in the Outer Hebrides,",,,,,,,,Wooden Books,"Presteigne, Wales",,,,,
60309,52856,Book,Book,"Fojut, Pringle and Walker, N, D and B",2003,"The ancient monuments of the Western Isles,",,,,,,,,Historic Scotland,Edinburgh,,,,,
60310,55021,Book,Book,"Cummings and Pannett, V and A",2005,"Set in stone: new approaches to Neolithic monuments in Scotland,",,,,,,,,Oxbow Books,Oxford,,,,,
60311,56915,Book,Book,"Cummings and Pannett, V and A [eds]",2005,"Set in stone: new approaches to Neolithic monuments in Scotland,",,,,,,,,Oxbow Books,Oxford,,,,,
60312,78023,Book,Book,"Burgess, C",2008,"Ancient Lewis and Harris: exploring the archaeology of the Outer Hebrides,",,,,,,,,Comhairle nan Eilaen Siar,,,,,,
60313,85736,Article,Journal Article,"Sebire, H",2009,"'The Lukis family of Guernsey and antiquarian pursuits in Scotland',",,,Proceedings of the Society of Antiquaries of Scotland,139,,,,,,,,,,
60314,93678,Book Section,Book Section,"Henley, C",2005,"Choreographed monumentality: recreating the centre of other worlds at the monumental complex of Callanish, western Lewis,",V Cummings and A Pannett,"Set in stone: new approaches to Neolithic monuments in Scotland,",,,,,,Oxbow Books,Oxford,,,,,
60315,96879,Article,Journal Article,"Curtis and Curtis, M R and G R",2011,"'Connections between some Callanish standing stone sites and archaeo-astronomy, Western Isles (Uig parish)'",,,"Discovery and Excavation, Scotland",12,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60316,100473,Article,Journal Article,"Curtis, G",2014,"Uig, Callanish stones (midsummer sunrise window), Fieldwork",,,"Discovery and Excavation, Scotland",14,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60317,101026,Article,Journal Article,"Curtis, G",2014,"Uig, Callanish stones (equinox sunrise alignment), Fieldwork",,,"Discovery and Excavation, Scotland",14,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60318,101252,Article,Journal Article,"Maclean, M",2014,"Uig, Callanish stones (midsummer sunrise alignment and symmetrical triple stone setting), Fieldwork",,,"Discovery and Excavation, Scotland",14,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60319,108972,Article,Journal Article,"Curtis, MR",2015,"Western Isles, Callanish, The Documentary Record",,,"Discovery and Excavation, Scotland",15,New,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60320,48084,Article,Journal Article,"MacLeod, M A",2000,"'Machair Bharabhais (Barvas Machair), Western Isles (Barvas parish), Iron Age cremations and inhumation',",,,"Discovery and Excavation, Scotland",1,,,,Council for Scottish Archaeology,,,,,,
60321,63536,Article,Journal Article,"Barrowman, R C",2005,"'Lewis Coastal Chapel Sites, Western Isles (various parishes), survey',",,,"Discovery and Excavation, Scotland",6,,,,Council for Scottish Archaeology,,,,,,
60322,5839,Book,Book,RCAHMS,1989,"The Royal Commission on the Ancient and Historical Monuments of Scotland. The archaeological sites and monuments of Hoy and Waas, Orkney Islands Area,",,,,,,,,RCAHMS,Edinburgh,,,,,
60323,73502,Article,Journal Article,"Robertson, J",2007,"'Hoy and South Walls Landscape Study, Orkney (Walls and Flotta parish), geophysical survey',",,,"Discovery and Excavation, Scotland",8 (New series),,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60324,82306,Article,Journal Article,"Lee, D",2009,"'Roeberry Barrow, Cantick, Orkney (Walls and Flotta parish), excavation',",,,"Discovery and Excavation, Scotland",10 (New series),,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60325,87596,Article,Journal Article,"Lee, D",2010,"'Roeberry Barrow, Cantick, Orkney (Walls and Flotta parish), excavation',",,,"Discovery and Excavation, Scotland",11 (New series),,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60326,96406,Article,Journal Article,"Lee, D",2011,"'Roeberry Barrow, Cantick, Orkney (Walls and Flotta parish), excavation',",,,"Discovery and Excavation, Scotland",12 (New series),,,,Archaeology Scotland,"Cathedral Communications Limited, Wiltshire, England.",,,,,
60327,40473,Article,Journal Article,"Wilson and Moore, G and H",1997,"'Orkney Coastal Survey (South Ronaldsay; Walls & Flotta; Hoy & Graemsay parishes)',",,,"Discovery and Excavation, Scotland",,,,,Council for Scottish Archaeology,,,,,,
60328,3080,Article,Journal Article,"Hedges, J W",1982,"'An archaeodemographical perspective on Isbister',",,,Scottish Archaeological Review,1,,,,,,,,,,
60329,3082,Book,Book,"Hedges, J W",1983,"Isbister: a chambered tomb in Orkney,",,,British Archaeology Report,115,BAR British,,,BAR,Oxford,,,,,
60330,6229,Article,Journal Article,"Ritchie, P R",1961,"'A chambered cairn at Isbister, South Ronaldshay, Orkney',",,,Proceedings of the Society of Antiquaries of Scotland,92,,,,,,,,,,
60331,20635,Article,Journal Article,"Cruden, S",1958,"'Isbister cairn, South Ronaldsay, Orkney',",,,"Discovery and Excavation, Scotland",,,,,,,,,,,
60332,20636,Article,Journal Article,"Hedges and Simison, J W and R",1978,"'Isbister, South Ronaldsay, Orkney. ND 470885',",,,Proceedings of the Prehistoric Society,44,,,,,,,,,,
60333,20637,Article,Journal Article,"Fraser, D",1982,"'Archaeodemography of Isbister',",,,Scottish Archaeological Review,1,,,,,,,,,,
60334,20638,Article,Journal Article,"Kinnes, I",1982,"'Archaeodemography of Isbister',",,,Scottish Archaeological Review,1,,,,,,,,,,
60335,20639,Article,Journal Article,"Hedges, J",1982,"'Archaeodemography of Isbister',",,,Scottish Archaeological Review,1,,,,,,,,,,
60336,24835,Article,Journal Article,"Smith, B",1990,"'Isbister: an Orkney Islands Council guardianship monument',",,,Proceedings of the Society of Antiquaries of Scotland,119,,,,,,,,,,
60337,29070,Book,Book,"Hedges, J",1992,"Tomb of the eagles: a window on Stone Age tribal Britain,",,,,,,,,Tempus Reparatum,Oxford,,,,,
60338,48785,Article,Journal Article,"Kinnes, I",1984,"'John W Hedges 'Isbister: A Chambered Tomb In Orkney',",,,Archaeological Journal,142,,,,Royal Archaeological Institute,,,,,,
60339,51213,Article,Journal Article,"Sheridan and Davis, A and M",2002,"'Investigating jet and jet-like artefacts from prehistoric Scotland: the National Museums of Scotland project',",,,Antiquity,76,,,,,,,,,,
60340,9574,Article,Journal Article,PSAS,1873,"'Donations to and purchases for the Museum', (And exhibits)',",,,Proceedings of the Society of Antiquaries of Scotland,9,,,,,,,,,,
60341,4579,Article,Journal Article,"Mackenzie, J B",1905,"'Antiquities and old customs in St Kilda, compiled from notes by Rev. Neil Mackenzie, Minister of St Kilda, 1829-48',",,,Proceedings of the Society of Antiquaries of Scotland,39,,,,,,,,,,
