Site_ID,PGGP_event_ID,HER_event_ID,HER_event_type,Event_type,Event_name,Event_description,Event_summary,Event_start,Event_end
60014,609,568039,EXCAVATION,Full Excavation (1950-),,"Site 'C' described by OS as a Burnt Mound, is one of up to nine such plouged small mounds and enclosures. Ploughing in June 1978 had exposed a cist in the centre of the mound; two cists, one primary, one secondary were identified. The barrow had a diameter of 7.75m and a maximum height of 0.6m. The primary cist whose massive base slab rested on a bed of ash, had boulders heaped around it which were overlain in turn by 'burnt mound' material, yellow clay and a thin layer of redeposited sub-soil. The cist contained a cremation. The secondary cist contained a crouched inhumation. A few pottery sherds were recovered.  N Neil and J Hedges 1979",,01/03/1978,31/03/1978
60014,610,568038,FIELD VISIT,N/a,,"There are four turf-covered mounds and a low circle of earth and stones (HY 4771 1118) visible in the area indicated by RCAHMS.'A' (HY 4768 1117) and 'B' (HY 4768 1118) are earthen mounds of regular shape. Mound 'C' (HY 4773 1121) shows traces of burnt earth in rabbit scrapes at the top, and mound 'D' (HY 4793 1120) contained burnt earth and fire-baked stones; 'D' is not recorded by RCAHMS. With the exception of mound 'C' all these features have been mutilated by ploughing. There have been no finds made in the area.  Surveyed at 1/2500.  Visited by OS (NKB) 5 April 1964",,1964,
60099,611,1012531,FIELD VISIT,N/a,,"Neither the entrance to the passage nor any chambering can now be identified, except for slight mutilation to the top of the mound, due to the digging of two shallow pits and the erection of a flag pole, it is well preserved.  Resurveyed at 1:2500.  Visited by OS (GHP) 5 April 1964.",,1964,
60099,612,644921,DESK BASED ASSESSMENT,N/a,,"HY41SW 4 4177 1292.   (HY 4177 1292) Chambered Mound (NR)  OS 6"" map, Orkney, 2nd ed.,(1903).   'Chambered Cairn, Quanterness. ....... a conspicuous green mound marks the site of a chambered structure which was explored at some date shortly before 1805. (G Barry 1805).  The mound is of considerable size, measuring about 90ft. in diameter, and about 10ft 6in in height. Its original form appears to have been that of a truncated cone, 128ft in circumference at the base and 14ft high. On the left side of the mound there seems to have been a long passage leading into the interior, but this cannot now be identified with certainty by examination of the surface. Further, only at one place are there any remains of the chamber apparent, and these are very fragmentary. A ground plan of the structure, drawn at the date when it was originally excavated, is reproduced here ...  All of the chambers were built on the 'beehive' principle.  The floors were of dark, earthy clay, plentifully charged with the much-broken unburnt bones of birds and domestic animals. Some human bones occurred in the deposit and a complete human skeleton was found in one of the compartments.'  RCAHMS 1946; Barry 1805 Maes-Howe-type.  A S Henshall 1963.   Information from OS (JH) 10 October 1963",,1963,
60099,613,1000283,EXCAVATION,Full Excavation (1950-),,"Between 1972 and 1974 the chambered cairn of Quanterness was excavated by Professor Colin Renfrew, with the aim of dermining the nature of the mound, to obtain organic remains for radiocarbon dating, and evidence for its wider environmental and cultural setting.",,1972,1974
60099,614,585617,PUBLICATION ACCOUNT,,,"HY41 5    QUANTERNESS  HY/418130Early Iron Age roundhouse in Firth, discovered within the debris of the cairn of the Neolithic tomb of the same name [1, 180-98].  The work by Renfrew on the chambered tomb was carried out between 1972 and 1974 and the discovery of the roundhouse was not anticipated.   It was the first in Orkney to be assigned to the late Bronze Age or early Iron Age periods and the discovery shed an entirely new light on the broch period in those islands, hitherto hardly understood and relying entirely on the evidence from old excavations (no new broch has been explored by the spring of 2002).   The early date of the foundation of the house, probably in the 6th or 7th centuries BC (the excavator suggests c. 700 BC), is supported both by C14 dates and by the small amount of associated pottery. The house was built by removing part of the cairn material around its entrance passage and building the circular wall partly on the old ground surface of clay and partly on the base of the cairn material.   The wall was originally about 80 cm thick, widening to 1.0 m at the short entrance in the SE;  it enclosed an area some 7.0 m in diameter.   The NW part of the wall overrode the entrance passage of the Neolithic tomb but it was not clear whether this was exposed during Iron Age times, as it was at Howe;  at a late date it seems to have been entered.   The remains of a hearth were found on the NW side.There were alterations to the interior subsequently, involving the construction of various partition walls and, later, the thickening of the roundhouse wall itself. Finds:  most of the pottery and other finds were recovered in the entrance passage.   The pottery includes a one piece with a sharply angled shoulder, analogous to the early Iron Age material from Jarlshof and Clickhimin [1, fig. 53].  There were also some sandstone cobbles, presumably hammerstones, and one ivory mount. A  number of animal bones were recovered and a report on them is available [1, 192-04].Sources:  1. Renfrew 1979.E W MacKie 2002",,2002,
60129,615,644817,ARCHAEOLOGY NOTES,Casual Observation,,"HY41SW 8 c. 43 10.   'In May 1855, Mr Wm Fotheringham, proprietor of the farm of Newbigging, near Kirkwall, informed me that he had accidentally discovered on his farm a cist containing a small stone urn which ...  was smashed by some boys. When found the urn had a quantity of burnt bones and ashes in it. It was of oval shape - its greatest diameter at the mouth about 9 ins, and its depth the same. It was narrower at the bottom which was flat, and perforated by three or four small holes. The fragments of the urn are in my possession'.  G Petrie 1868; RCAHMS 1946.   No information could be obtained about this cist.  Visited by OS (GHP) 8 April 1964.",,01/05/1855,31/05/1855
60129,616,620154,ORKNEY SMR NOTE,,,"See also OR1532 [HY40NW 4] cist/mounds at Newbigging discussed in the detailed excavation report by Petrie in PSAS 6, 1864-6 pp 411 -18. Of which this find (OR1567) insigated subsequent investigations in the areaInformation from Orkney SMR [n.d.]",,,
60076,617,645061,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"HY42NW 1 4048 2795.  Excavated by Callander  and Grant  (HY 4046 2795) Brough (NR) (Site of)   ""Knowe of Yarso"", an Orkney-Cromarty stalled cairn situated on the very edge of a 50yd wide shelf which drops in a cliff to the terrace below. Before excavtions, in 1934, it was a low grass-grown mound from which some slabs protruded.  The cairn is more or less rectangular in plan, with rounded corners, the major axis lying NW by W and SE by E and measures 50' by 25' 6"" with a maximum height of 6'. There is an outer and inner wall face encircling the cairn, the inner 2' 4"" behind the outer. The roughly paved passage, 13' 2"" long, enters the chamber from the SE. The chamber, 24' 1"" long and 5' 5"" to 6' wide, is divided into three compartments by upright transverse slabs. The cairn contained the bones of at least twenty-nine individuals as well as those of at least thirty-six reindeer, sheep and a dog. Finds included fragments of food-vessel and beaker pottery, four arrowheads and more than sixty other flint implements and five bone tools, which were donatgd to the National Museum of Antiquities of Scotland (NMAS) in 1934 by Walter A Grant.  A S Henshall 1963; J G Callander and W G Grant 1935; RCAHMS 1946.   'Knowe of Yarso' as described and planned by Henshall and now restored and preserved by DOE.  Surveyed at 1/2500.  Visited by OS(ISS) 9 October 1972.",,01/01/1934,12/12/1934
60076,618,555749,FIELD VISIT,N/a,,Visited by Childe in 1941.V G Childe 1942,,1941,
60076,619,619087,ORKNEY SMR NOTE,,,"Artefacts: RMS EO 393-484Human rems: 1 skull in RMS, ref L 1945 7, 4 in Anatomy Dept, University of AberdeenAnimal rems: RMSC14 date of 2275 +- 60 BC (calibrated to 2940 +- 110 BC) from red deer bone. [R5]Information from Orkney SMR [n.d.]",,,
60164,620,968606,FIELD VISIT,N/a,,"This bowl-shaped mound was recorded as part of the Orkney Barrows Project. Measuring 7.0m in diameter and 0.6m in height, it is not in a particularly prominent position but is visible for some 500m to the S. Information from the Orkney Barrows Project (JD), 1994",,1994,
60164,621,645227,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"HY42NW 10 4246 2742.   Excavated by Grant in 1932. A mound, situated on Trumland Home Farm, about 10 yds E of the wall which separates that property from the adjoining holding of Nears, was excavated by Mr W G Grant, the proprietor in 1933. Before excavation it was a grassy earthen mound, 4 ft 6 ins high, with here and there slabs of stone showing through the turf. Excavation disclosed a symmetrical wall of well-built slabs, laid on bed in three to six courses and varying in height from 8 to 12 ins enclosing a circcullar space, 20ft 8 ins N-S by 20 ft 10ins E-W within which, and not far from the centre, were three cists, the primary cist being at a lower level than the others. The primary cist was 12ins square by 9ins deep, the few slabs and cover being less than 1in thick. It contained cremated human bones and a small fragment of pottery. The other two cists were slightly larger, one contained only soil, the other cremated human bones, burnt matter and fragments of a steatite urn, other parts of which were found outside the cist at its SE corner. Beyond the E side of the mound's perimeter lay a fourth cist, 2ft by 1 ft 6ins by 8 ins deep. It was completely filled with burnt material, possibly a fire-box rather than a burial cist.  RCAHMS 1946; J H Craw 1934   Situated at NY 4246 2742 and now visible as a turf-covered mound 7.0m in diameter and 0.6m high. There is no sign of the cists. According to Mr J Yorstan, of Trumland Cottages, Rousay, who dug the mound for Grant, the central cist was two-tiered.  Surveyed at 1/2500.  Visited by OS(ISS) 8 October 1972.",,01/01/1932,31/12/1932
60164,622,619088,ORKNEY SMR NOTE,Antiquarian Excavation (pre-1950),,"Before excavation by Grant in 1932 was a grassy earthen mound 4ft 6in high with slabs showing here and there. Three cists - one primary - revealed by excavation, a fourth cist lay just beyond perimeter of mound. After excavation the mound was restored to its pristine state. [R1], [R2]Now visible as a turfed mound 7m diameter 0.6m high, no sign of cists. According to J Yorston who did the excavation for Grant, the central cist was two-tiered. J Yorston, gamekeeper, Trumland, OS visit Oct 72.As described. Information from Orkney SMR (RGL) Sep 80.",,01/01/1932,31/12/1932
60046,623,644935,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"HY42NW 16 4236 2738.   Until a few years ago all that could be seen of the cairn, which lies some 700 yds WSW of Trumland House, was a slight mound 25 ft in diameter. It showed however, a double setting of standing stones with their major axis approx N and S. Of the inner group, which measures about 10 ft by 5 ft, some rise to a height of 3 ft 6 ins and 4 ft, others no more than pierce the turf. From 4 to 6 ft outside the second and more imperfect setting where two stones on the N arc are, 3 ft 4 ins and 2 ft 3 ins high, while those on the E and W are but 2 or 3 ins above the ground.  Excavation of the inner setting carried out by W G Grant in 1932 disclosed, towards its N end, a small cist, 1 ft 9 ins by 1 ft 3 ins. Within the cist were fragments of one or perhaps two large steatite urns and fragments of cremated human bones.  RCAHMS 1946; W G Grant 1933.   The remains of a cairn at NY 4235 2738 which appears to have been about 6.0m in diameter and edged with slabs on edge of which only seven or eight survive, best defined in the NW. The central construction survives as planned by Grant. It appears to have been a rough chamber, entered from the S, whose original plan cannot now be positively identified.  It is possible that this may have been a Viking burial.  Surveyed at 1/2500.  Visited by OS(ISS) 8 October 1972.",,01/01/1932,31/12/1932
60046,624,619109,ORKNEY SMR NOTE,,,"Before excavation by Callander and Grant in 1932 this was a slight mound, 25ft in diameter, with the top of the central slab-construction protruding. These central upright slabs were set around a cist which contained fragments of two steatite urns and burnt human bone. Grant does not however describe the larger slab-construction as a chamber. The dating is uncertain; Grant tentatively suggests Bronze Age but mentions the inserted cists in the broch mound at Oxtro, Birsay, and the possibility that the steatite vessels may be Norse.[R1] + [R2]Remains of cairn which appears to have been c6m dia, edged with slabs on edge of which only 7 or 8 survive, best defined in NW. Central construction survives as planned by Grant. It appears to have been a rough chamber entered from the S, original plan now not positively ascertainable. It is possible that this may have been a Viking burial.OS visit Oct 1972.As described; mound is very slight indeed and the erect slabs are the only easily visible feature.Information from Orkney SMR (RGL) Sep 1980.",,1980,
60077,625,1005248,EXCAVATION,Antiquarian Excavation (pre-1950),,"Found in 1898 when General was flattening hill for a view spot. And to make a summer seat! Then excavated by Turner ""Taversoe Tuick"", an Orkney-Cromarty Bookan-type cairn, situated on the slope of the hill. Up to 1898 it appeared to be a small heather-covered knoll about 4' high, but in that year part of the upper chamber was exposed and access was gained to the intact chamber and passage below.",,01/01/1898,12/12/1898
60077,626,644937,ARCHAEOLOGY NOTES,,,"HY42NW 2 4257 2761.   (HY 4257 2761) Tumulus (NR) Stone Cists, Urns & Human Remains found (AD 1899)  OS 6""map, Orkney, 2nd ed.,(1900).   ""Taversoe Tuick"", an Orkney-Cromarty Bookan-type cairn, situated on the slope of the hill. Up to 1898 it appeared to be a small heather-covered knoll about 4' high, but in that year part of the upper chamber was exposed and access was gained to the intact chamber and passage below. It was completely excavated in 1937, and the upper chamber covered with a domed roof.  The cairn has a diamaeter of about 30' and is bounded by a wall-face of horizontally laid stones.  Surrounding the cairn is a spread of loose flat stones forming a sort of platform. An alley, clear of stones, led through it up to the W edge of the cairn. The cairn covers two separate chambers, one directly above the other. The upper, at ground level and entered from the N or uphill side, is placed centrally in the cairn; the lower is subterranean and entered from the S.  The passage to the upper chamber is 11' long, 1' 9"" wide and 3' maximum high. The upper chamber measures 15' 6"" by 6', its main axis at right angles to the passage. It is divided into two unequal compartments with rounded ends. Three stone cists, measuring about 1' 6"" by 2', with cover-stones, had been built on a layer of earth about 1' thick between two upright slabs in the N wall of the W compartment. The lower chamber is entered by a passage 2' wide and 4' high at its inner end but contracting to 1' 5"" and 2' high at the outermost lintel. The passage is 19' long from the chamber thus continuing 5' 6"" outside the cairn above. Outside the roofed passage the sloping sides of the trench are visible, lined with walling but without lintels. The walls continue down the hillside for 19' narrowing to only 2 1/2"" wide by the entrance to the ""miniature chamber"". This small channel has been called a drain but this is obviously not its purpose.  The lower chamber is entirely subterranean and roughly oval with the main axis at right angles to the passage.  It measures 12' long by 5' 4"" wide and is divided by five vertical slabs into four compartments opening from a central space. The miniature chamber at the end of the passage extension is also subterranean. It is roughly oval in plan, the main axis lying SW-NE, 5' long by 4'4"" wide. Four upright slabs are set radially in the wall and hardly project into the chamber.  The entrance is by a vertical drop into a narrow extension of the chamber on the SW. Finds include several skeletons and cremated bone, two complete Unstan bowls and fragments of others, a perforated secondary Neolithic mace-head, a flint arrowhead, flint scrapers, thirty-five disc beads of grey shale etc, which, except for the skeleton remains, have been donated to the National Museum of Antiquities of Scotland.  A S Henshall 1963; RCAHMS 1946; W G Grant 1939; J Phemister 1942.   As described and planned by Henshall.  Surveyed at 1/2500.  Visited by OS(ISS) 8 October 1972.'The Orkney Herald' in 1898 describes the excavation of the site, from May 5th 1898.M Howe 2006",,,
60077,627,555751,FIELD VISIT,N/a,,Visited by Childe in 1941.V G Childe 1942,,1941,
60077,628,619147,ORKNEY SMR NOTE,,,"In the early 1990's on the 18th Dec, mid morning. I observed the sun shining along the passage leading to the lower chamber. Information from Orkney SMR (JG) 18 December 97",,1997,
60078,629,644670,ARCHAEOLOGY NOTES,,,"HY42NW 22 4004 2800 (HY 400 280) ""Knowe of Ramsay"", an Orkney-Cromarty stalled cairn, near the edge of one of the natural terraces above the shore overlooking the ""Knowe of Lairo"" (HY32NE 6). It is now a low grass-grown mound with a hollow down the centre from which some flagstones protrude . It had much the same appearance before excavation in 1935, when it was found that it had already been severely robbed and disturbed. The cairn, with its major axis NW-SE, is 103' long; the SE end, which contains the entrance passage, is square, 15' in width. The sides diverge to give a maximum width of 24' and then converge into the rounded NW end. It is edged by a wall face of horizontally laid stones, greatly dilapidated but surviving to a height of 4'2"" on the SW side; there is no second wall-face. Against the W side of the NW end is a rough block of masonry, possibly part of an unfinished outer casing to the cairn, and at the SE end on the E side a wall 7'9"" long abuts the cairn at right angles. The passage is 6'5"" long and 1' 8"" wide, with a maximum height of 2'4"". The chamber, 88' long and from 3'11"" to 6'8"" wide, is divided into 14 compartments by pairs of transverse slabs, 2'6"" - 4'9"" high. The end of the chamber is formed by a large stone on edge. A small stone cist was found near the SW corner of the fifth compartment from the entrance.  Finds from the site included: about 6 small sherds of reddish ware, a scraper and 5 pieces of flint, human bones very broken and decayed and numerous animal bones.  J G Callander and W G Grant 1936; RCAHMS 1946; A S Henshall 1963. The remains of a stalled cairn at HY 4004 2800, generally as described by Henshall. Only 5 stones on edge of the chamber are now visible with the merest traces of the edging wall. The wall at right angles to the SE is no longer visible. Surveyed at 1:10,000 and at 1/2500.  Visited by OS (ISS), 9 October 1972.",,,
60078,630,619169,FIELD VISIT,N/a,,As described OS; now very insignificant.Information from Orkney SMR (RGL) Sep 80.,,1980,
60078,631,555737,FIELD VISIT,Antiquarian Excavation (pre-1950),,Visited by Childe in 1941.V G Childe 1942,,01/01/1941,12/12/1941
60118,632,644692,ARCHAEOLOGY NOTES,Casual Observation,,"HY42NW 25 c. 42 29.   A stone urn, apparently of steatite (11"" diameter, 7 1/2"" high) and filled with calcined bones found in the island of Rousay Orkney, was donated to the National Museum of Antiquities of Scotland in 1860. (Accession  no: EK 5)  Proc Soc Antiq Scot 1862 (Donations).",,01/01/1860,31/12/1860
60079,633,644458,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),Blackhammer Cairn excavation,"HY42NW 3 4142 2761.   (HY 4146 2771) 'Blackhammer', an Orkney-Cromarty Stalled Cairn, situated on a shelf on the lower slopes of the hillside. Since excavation in 1936 the site has been placed under DOE guardianship and is now protected by a modern roof, the whole construction being turfed over.  Before excavation the cairn measured 78' by 34' and 5' in height, and was already much robbed and disturbed.  Excavation showed that the structure measured 72' 6"" long by 27' wide, with the main axis E by S and W by N.  It is roughly rectangular with slightly curved sides and rounded corners and faced with a carefully built wall-face, surviving in one place to a height of 3' 6"". An inner wall-face lies 3' to 7' behind and remains up to 3' 9"" high.  The passage, at right angles to the main axis of the cairn and chamber, opens from the S and is 9' 9"" long, 2' 6"" wide and 3' 6"" high. When excavated, it was found to be blocked by masonry, the outer face flush with the outer wall surrounding the cairn. The chamber, 42' 6"" long, 4' 9"" to 5' 6"" wide and from 2' to 5' high, is divided into seven compartments by six pairs of divisional stones, four of which have been removed. Two masses of rough masonry, of unknown purpose and date, have been inserted into the chamber. This re-use of the chamber probably accounts for the removal of some of the divisional stones and the reduction in height of others.  Finds included fragmentary skeletal remains of two adult males, numerous animal bones and pottery sherds, scrapes of pebble and flint, part of a bone pin, a flint knife and a polished stone axe of fine grain grey-green stone. The latter objects were donated to the National Museum of Antiquities of Scotland by Walter G Grant.  J G Callander and W G Grant 1937; RCAHMS 1946; A S Henshall 1963. Blackhammer Cairn (a) at HY 4142 2761 as described and planned by Henshall.  Surveyed at 1/2500.  Visited by OS (ISS) 9 October 1972.",,01/01/1936,31/12/1936
60079,634,555750,FIELD VISIT,N/a,,Visited by Childe in 1941.V G Childe 1942,,1941,
60079,635,619148,ORKNEY SMR NOTE,Antiquarian Excavation (pre-1950),,"Orkney-Cromarty stalled chambered tomb in SDD guardianship. Before excavation in the 1930s it appeared as an oblong rise looking like the ruin-mound of a small farmhouse. Grant excavation plans in Orkney Archives - copies in NMRS ref ORD/138/2-3. [R1], [R2], [R3], [R4]Information from Orkney SMR [n.d.]",,01/01/1935,31/12/1935
60189,636,1013747,EXCAVATION,Full Excavation (1950-),,"HY 4191 2197 An excavation was undertaken, 12?15 August 2014, under the Historic Scotland human remains call-out contract, on an eroding cairn on the NE coast of mainland Orkney. Upon arrival at the site it became apparent that more than half of the cairn had already been lost to coastal erosion. Of the remaining cairn there was a central area extending nearlya metre from the section supported by a shelf of bedrock. This spur of surviving cairn must have lain very close to the centre of the original plan of the cairn and it was here that a steatite vessel was positioned. It was surrounded by placed stones and covered with a capstone and was positioned over an area of burning and burnt material thought to relate to a funeral pyre.The vessel was almost complete but was obviously badly damaged with numerous cracks and distortions visible. The vessel is a flat-rimmed, wide-mouthed, sub-circular tub-like vessel with steeply angled, rounded walls. After careful recording of the section the vessel was block lifted and returned to the AOC offices for conservation. No other artefacts were recovered during the excavation. Burnt bone fragments presumed to be human remains were recovered from the `pyre? material.Archive: RCAHMS (intended)Funder: Historic Scotland Lindsay Dunbar ? AOC Archaeology Group(Source: DES)",,2014,2014
60189,637,645753,ARCHAEOLOGY NOTES,N/a,,"HY42SW 5 4192 2192 (HY 4192 2192) Site of Tumulus (OE) Stone Cists found AD 1859.  OS 6"" map, Orkney, 2nd ed., (1900).   Stone cists, containing ashes (apparently burnt bone),were found during land improvement. In the enclosure 250 links to the north are traces of two mounds about which nothing is known.  Name Book 1880.   The mound has almost entirely disappeared.  RCAHMS 1946.   The mound where the cists were found can now only be seen as a slight rise in a pasture field. There are no intelligible remains of the other two mounds. Due to coastal erosion, only a small part, on the SW side, of each can be seen. They appear to have been of large stoney content and may have been cairns. (The other two mounds are at HY 4190 2197 and HY 4191 2196). Visited by OS (RL) 6 June 1967.",,,
60189,638,973789,FIELD VISIT,N/a,,"This bowl-shaped mound was visited during the course of the Orkney Barrows Project. It measures 8.0m in diamter and 1.1m in height. It is not prominent, but is visible from upslope to the S. Information from the Orkney Barrows Project (JD), 1993",,1993,
60080,639,645764,ARCHAEOLOGY NOTES,,,"HY43SW 13 4383 3250.   (HY 437325) 'Bigland Round Cairn', an Orkney-Cromarty tripartite round cairn is situated on the edge of the lowest of the terraces on the SW face of Faraclett Head, just above the limit of cultivation, and was excavated by W G Grant in 1938. (RCAHMS 1946). It is circular except for a flattening at the SE by the entrance, has diameters of 37 to 40ft, and is surrounded by two wall-faces, the outer of well-laid masonry still standing up to 2ft 6ins high. The inner wall-face is 3-4ft behind and in line with the inner end of the short entrance passage.  The passage, 3ft 10 ins long and 1ft 9ins wide, was blocked at the outer end by masonry built flush with the outer- wall-face. The roofless chamber is 15ft 8ins long by 3ft 10ins to wide and aligned NW-SE. It is entered between two portal stones and is divided into three compartments by two pairs of upright slabs. A small hollow dug into the subsoil was found outside the cairn on the S side, 11ft from the entrance and 5ins from the wall- face. It measured 1ft 8ins by 1ft 3ins at surface level, reducing to 11 by 10 ins at the bottom and was 6 1/2 ins deep. It was bottomed by clay and full of black peaty ash.  Numerous sherds, a flint scraper and two flint chips from the site are now in the National Museum of Antiquities of Scotland (NMAS).  A S Henshall 1963   A chambered cairn at HY 4383 3250, as described and planned by Henshall. Surveyed at 1:2500.  Visited by OS(ISS) 18 October 1972.Scheduled as Bigland, round chambered tomb.Information from Historic Scotland, scheduling document dated 10 December 2001.",,,
60080,640,619178,ORKNEY SMR NOTE,Antiquarian Excavation (pre-1950),,"Visited by RCAMS in 1935 when just a mound with 5 protruding stones, then excavated 1938 by Walter Grant and details and plan supplied by him. Fragments of two Neolithic pots were found.[R1]Has been stripped, and all constructional features are exposed. - Detailed description. Classified as Orkney-Cromarty tripartite round cairn. [R2]Information from Orkney SMR [n.d.]",,01/01/1938,31/12/1938
60188,641,968588,FIELD VISIT,N/a,,"These bowl-shaped mounds are located on a gentle slope, visible for 500m S towards a burn.  Largest of mounds stood 1.65m in 1928 survey.There were two more of these mounds now ploughed away.Mansie's Knowes 1: HY 42230 31230. Mansie's Knowes 2: HY 42120 31240Mansie's Knowes 3: HY 42120 31240Information from the Orkney Barrows Project (JD), 1994",,1994,
60188,642,645375,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"HY43SW 17 4215 3127.   (HY 4215 3127) Mansie's Knowes (NR)  (4 shown on 1879 25"" - two apparently destroyed by mill  dam)  OS 6""map, Orkney, 2nd ed.,(1900).   A cluster of five mounds known as ""Mansie's Knowes"" formerly existed a few yards NW of the farm-house of Corquoy. They have now practically disappeared, partly as a result of having been excavated about 1880, (G M M'Crie 1881) and partly under the influence of cultivation.  The largest mound had been about 50' in circumference and about 5'6"" high. Almost at its centre, and oriented N-S, was a cist which measured internally 2'6"" x 2'0"" x 1'6"".  In the cist, completely filled with clay and bone fragments, was an urn of steatite, now in the National Museum of Antiquities of Scotland (NMAS). The other mounds also contained cists but no urns, the smallest being 12"" x 6"".  RCAHMS 1946. Visited 1928.   All that remains of these mounds are vague traces of the two shown on OS 25"", 1900. They appear to have had a stony content. Name still known. Visited by OS(ISS) 18 October 1972.",,01/01/1881,01/05/1881
60188,643,619179,ORKNEY SMR NOTE,,,"Five mounds - the largest was trenched, it was 50ft in circumference [i.e. 16ft diameter], 5.5ft high, within living memory it had been much higher. It contained a cist within which was a steatite urn, there were ashes and bone fragments in the cist both within and outside the urn. The other mounds also contained cists with bone fragments. The mounds were traditionally known to be burial mounds. [R1]Formerly a cluster of mounds, now almost disappeared. [R2]OS 25-inch 1879 shows 4 mounds, of which 2 apparently destroyed by the mill dam. OS 25-inch 1879.All that remains is the vague traces of two mounds shown on the OS 6-inch 1900. They appear to have had a stony content. Name Mansies Knowes still known. OS visit Oct 72.Two mounds still quite readily visible. There is another large rounded knoll which looks artificial, at 4223 3123, in field immediately to NE of Curquoy and possibly another mound of the group. Information from Orkney SMR (RGL) Sep 80.",,1980,
60082,644,963577,FIELD VISIT,N/a,,"This chambered cairn, known as the `Knowe of Craie? (Name Book No.16, p.78), stands on a low knoll on the gentle SE flank of Kierfea Hill, just 80m NW of the remains of the former farmstead of East Craie, itself now reduced to a grass-grown spread of stones. The cairn, which was opened in antiquity and excavated by a local landowner, WG Grant, in 1941, now comprises a low grass-grown mound, flattened on the ESE and measuring up to 11.5m from NNE to SSW by 9.5m transversely over a kerb that was exposed by Grant. In some places this kerb comprises edge-set slabs and in others coursed masonry. It is particularly evident on the W, where its outer face has been exposed in a trench about 1m in width, the spoil from which has been piled into heaps immediately to the N and W. Both the ruinous burial-chamber and the passage, which extends from the ESE side of the cairn, lie exposed. The small rock-cut hollow that is said to be situated on the N side of the entrance outside the cairn, was not seen on the date of visit. Visited by RCAHMS (GFG) 7 May 2013.",,2013,
60082,645,645441,ARCHAEOLOGY NOTES,Antiquarian Excavation (pre-1950),,"HY43SW 19 4196 3153.   (HY 4196 3152) Knowe of Craie (NR)  Stone Cist (NR)    ""Knowe of Craie"", an Orkney-Cromarty cairn, stands in enclosed land and had already been greatly reduced and ruined before excavation. The cairn is roughly circular in plan, measuring 38' by 35'6"" in diameter. A wall-face encircling the cairn was traced for rather more than half its circumference and there seems to be another, about 1'6"" within the cairn edge. The passage, 8' long, opens from the E side and the chamber, 14'9"" long by 5'9"" to 8'3"" wide, is divided into three compartments by upright transverse slabs. The chamber was left open after excavation.  On the N side of the entrance outside the cairn a small hollow was found made in the rock, about 1'6"" across by 4"" deep. It contained ashes, pieces of burnt bone, flints and small sherds. (Prob. ""Stone Cist"" published on OS 6"").  Various pottery sherds, two scrapers and four flint chips from the site are in the National Museum of Antiquities of Scotland (NMAS), presented by W G Grant 1944-45.  A S Henshall 1963; RCAHMS 1946. Visited 1936; Proc Soc Antiq Scot 1946.   ""Knowe of Craie"", a chambered cairn as described and planned by Henshall.  Surveyed at 1/10 000  Visited by OS(AA) 19 October 1972.",,01/01/1941,31/12/1941
60082,646,555755,FIELD VISIT,N/a,,Visited by Childe in 1941.V G Childe 1942,,1941,
60083,647,1005900,EXCAVATION,Full Excavation (1950-),,"The chambered cairn at Point of Cott was believed to be stalled cairn of 7 or more compartments. Excavation of the cairn, its chambers, and areas outwith the cairn, revealed that in face the site consists of 2 distinct elements.  At the south end a relatively standard stalled cairn of 4 compartments was discovered. Burial deposits (human bone, animal bone and pottery) were discovered on the floors of the first 3 stalls, and an unusual double cist-like arrangement occupied the floor of the fourth and northern-most-compartment.  These deposits were sealed by collapsed chamber and cairn material inter-mixed with which were human and animal bone, amongst the latter there being the talon of large birds of prey.  At the N end of the site a separate and apparently earlier structure was located. The exact nature of this structure has not yet been fully resolved, paricularly since it was largely destroyed in the process of its incorporation into the cairn of the chambered tombs.  J Barber 1984.",,01/01/1984,12/12/1984
60083,648,884497,FIELD VISIT,N/a,,"Eroding very seriously along the whole length of both E side and N end, where the cairn structure is rapidly falling out. The outer wall-face visible on the W side at N end is built of herringbone-laid masonry. Information from Orkney SMR (RGL) Jun 81",,1981,
